"nama_tabel","nama_kolom","tipe_data","tipe_prisma","kelompok"
"penduduk","nel_jenis","text","string","kesehatan_kerja_jamsos"
"penduduk","nel_jenis_budidaya","character varying","string","kesehatan_kerja_jamsos"
"penduduk","nel_alat_tangkap","character varying","string","kesehatan_kerja_jamsos"
"penduduk","nel_alat_bantu","character varying","string","kesehatan_kerja_jamsos"
"penduduk","nel_ikan_tangkap","text","string","kesehatan_kerja_jamsos"
"penduduk","nel_ikan_tangkap_lain","text","string","kesehatan_kerja_jamsos"
"penduduk","nel_ikan_kecil_perlakuan","character varying","string","kesehatan_kerja_jamsos"
"penduduk","nel_buang_sampah","character varying","string","kesehatan_kerja_jamsos"
"penduduk","nel_budidaya_ikan","character varying","string","kesehatan_kerja_jamsos"
"penduduk","nel_budidaya_pakan","character varying","string","kesehatan_kerja_jamsos"
"penduduk","nel_budidaya_rucah","character varying","string","kesehatan_kerja_jamsos"
"penduduk","nel_budidaya_rumputlaut","character varying","string","kesehatan_kerja_jamsos"
"penduduk","nel_budidaya_alat","character varying","string","kesehatan_kerja_jamsos"
"penduduk","nel_pelatihan_jenis","text","string","kesehatan_kerja_jamsos"
"penduduk","nel_asuransi","character varying","string","kesehatan_kerja_jamsos"
"penduduk","nel_asuransi_rp","numeric","float","kesehatan_kerja_jamsos"
"penduduk","nel_kredit","character varying","string","kesehatan_kerja_jamsos"
"penduduk","nel_pembiayaan_budidaya","character varying","string","kesehatan_kerja_jamsos"
"penduduk","nel_kepemilikan","text","string","kesehatan_kerja_jamsos"
"penduduk","nel_waktu","text","string","kesehatan_kerja_jamsos"
"penduduk","nel_ukurankapal","text","string","kesehatan_kerja_jamsos"
"penduduk","nel_penangkapan","text","string","kesehatan_kerja_jamsos"
"penduduk","nel_pelatihan","text","string","kesehatan_kerja_jamsos"
"penduduk","nel_budidaya_jenis","text","string","kesehatan_kerja_jamsos"
"penduduk","nel_biota_jenis","text","string","kesehatan_kerja_jamsos"
"penduduk","nel_budidaya_sarana","text","string","kesehatan_kerja_jamsos"
"penduduk","nel_sumber_air","text","string","kesehatan_kerja_jamsos"
"penduduk","nel_bibit","text","string","kesehatan_kerja_jamsos"
"penduduk","nel_produksi","text","string","kesehatan_kerja_jamsos"
"penduduk","nel_hasil_jual","text","string","kesehatan_kerja_jamsos"
"penduduk","nel_pernah","text","string","kesehatan_kerja_jamsos"
"penduduk","bpjs_kes","character varying","string","kesehatan_kerja_jamsos"
"penduduk","bpjs_tk","character varying","string","kesehatan_kerja_jamsos"
"penduduk","menabung","text","string","kesehatan_kerja_jamsos"
"penduduk","rp_tabungan","numeric","float","kesehatan_kerja_jamsos"
"penduduk","tki","character varying","string","kesehatan_kerja_jamsos"
"penduduk","tki_tujuan","character varying","string","kesehatan_kerja_jamsos"
"penduduk","penyakit_jumlah","integer","int","kesehatan_kerja_jamsos"
"penduduk","penyakit_jenis","text","string","kesehatan_kerja_jamsos"
"penduduk","anak_asi","character varying","string","kesehatan_kerja_jamsos"
"penduduk","anak_periksa","character varying","string","kesehatan_kerja_jamsos"
"penduduk","anak_mpasi","text","string","kesehatan_kerja_jamsos"
"penduduk","anak_tb","numeric","float","kesehatan_kerja_jamsos"
"penduduk","anak_bb","numeric","float","kesehatan_kerja_jamsos"
"penduduk","perokok","character varying","string","kesehatan_kerja_jamsos"
"penduduk","lahan","character varying","string","kesehatan_kerja_jamsos"
"penduduk","lahan_guna","character varying","string","kesehatan_kerja_jamsos"
"penduduk","lahan_luasnon","numeric","float","kesehatan_kerja_jamsos"
"penduduk","lahan_status","character varying","string","kesehatan_kerja_jamsos"
"penduduk","lahan_luas_dikelola","numeric","float","kesehatan_kerja_jamsos"
"penduduk","lahan_luas_tidakdikelola","numeric","float","kesehatan_kerja_jamsos"
"penduduk","lahanmilik_irigasi","character varying","string","kesehatan_kerja_jamsos"
"penduduk","lahanmilik_bukti","character varying","string","kesehatan_kerja_jamsos"
"penduduk","lahanmilik_komoditas","text","string","kesehatan_kerja_jamsos"
"penduduk","lahanmilik_lokasi","text","string","kesehatan_kerja_jamsos"
"penduduk","lahangarap_luas","numeric","float","kesehatan_kerja_jamsos"
"penduduk","lahangarap_irigasi","character varying","string","kesehatan_kerja_jamsos"
"penduduk","lahangarap_komoditas","text","string","kesehatan_kerja_jamsos"
"penduduk","lahangarap_lokasi","text","string","kesehatan_kerja_jamsos"
"penduduk","lahansewa_luas","numeric","float","kesehatan_kerja_jamsos"
"penduduk","lahansewa_irigasi","character varying","string","kesehatan_kerja_jamsos"
"penduduk","lahansewa_komoditas","text","string","kesehatan_kerja_jamsos"
"penduduk","lahansewa_lokasi","text","string","kesehatan_kerja_jamsos"
"penduduk","ppkb","numeric","float","kesehatan_kerja_jamsos"
"penduduk","ppkt","numeric","float","kesehatan_kerja_jamsos"
"penduduk","skor_kls","numeric","float","kesehatan_kerja_jamsos"
"penduduk","miskin_uufm","character varying","string","kesehatan_kerja_jamsos"
"penduduk","pkb","numeric","float","kesehatan_kerja_jamsos"
"penduduk","miskin_wb","character varying","string","kesehatan_kerja_jamsos"
"penduduk","miskin_bps","character varying","string","kesehatan_kerja_jamsos"
"penduduk","miskin_ekstrem","character varying","string","kesehatan_kerja_jamsos"
"penduduk","miskin_bpsd","character varying","string","kesehatan_kerja_jamsos"
